,Year,Link
0,1772,https://www.espncricinfo.com/ci/engine/series/index.html?season=1772;view=season
1,1773,https://www.espncricinfo.com/ci/engine/series/index.html?season=1773;view=season
2,1774,https://www.espncricinfo.com/ci/engine/series/index.html?season=1774;view=season
3,1775,https://www.espncricinfo.com/ci/engine/series/index.html?season=1775;view=season
4,1776,https://www.espncricinfo.com/ci/engine/series/index.html?season=1776;view=season
5,1777,https://www.espncricinfo.com/ci/engine/series/index.html?season=1777;view=season
6,1778,https://www.espncricinfo.com/ci/engine/series/index.html?season=1778;view=season
7,1779,https://www.espncricinfo.com/ci/engine/series/index.html?season=1779;view=season
8,1780,https://www.espncricinfo.com/ci/engine/series/index.html?season=1780;view=season
9,1781,https://www.espncricinfo.com/ci/engine/series/index.html?season=1781;view=season
10,1782,https://www.espncricinfo.com/ci/engine/series/index.html?season=1782;view=season
11,1783,https://www.espncricinfo.com/ci/engine/series/index.html?season=1783;view=season
12,1784,https://www.espncricinfo.com/ci/engine/series/index.html?season=1784;view=season
13,1786,https://www.espncricinfo.com/ci/engine/series/index.html?season=1786;view=season
14,1787,https://www.espncricinfo.com/ci/engine/series/index.html?season=1787;view=season
15,1788,https://www.espncricinfo.com/ci/engine/series/index.html?season=1788;view=season
16,1789,https://www.espncricinfo.com/ci/engine/series/index.html?season=1789;view=season
17,1790,https://www.espncricinfo.com/ci/engine/series/index.html?season=1790;view=season
18,1791,https://www.espncricinfo.com/ci/engine/series/index.html?season=1791;view=season
19,1792,https://www.espncricinfo.com/ci/engine/series/index.html?season=1792;view=season
20,1793,https://www.espncricinfo.com/ci/engine/series/index.html?season=1793;view=season
21,1794,https://www.espncricinfo.com/ci/engine/series/index.html?season=1794;view=season
22,1795,https://www.espncricinfo.com/ci/engine/series/index.html?season=1795;view=season
23,1796,https://www.espncricinfo.com/ci/engine/series/index.html?season=1796;view=season
24,1797,https://www.espncricinfo.com/ci/engine/series/index.html?season=1797;view=season
25,1798,https://www.espncricinfo.com/ci/engine/series/index.html?season=1798;view=season
26,1799,https://www.espncricinfo.com/ci/engine/series/index.html?season=1799;view=season
27,1800,https://www.espncricinfo.com/ci/engine/series/index.html?season=1800;view=season
28,1801,https://www.espncricinfo.com/ci/engine/series/index.html?season=1801;view=season
29,1802,https://www.espncricinfo.com/ci/engine/series/index.html?season=1802;view=season
30,1803,https://www.espncricinfo.com/ci/engine/series/index.html?season=1803;view=season
31,1804,https://www.espncricinfo.com/ci/engine/series/index.html?season=1804;view=season
32,1805,https://www.espncricinfo.com/ci/engine/series/index.html?season=1805;view=season
33,1806,https://www.espncricinfo.com/ci/engine/series/index.html?season=1806;view=season
34,1807,https://www.espncricinfo.com/ci/engine/series/index.html?season=1807;view=season
35,1808,https://www.espncricinfo.com/ci/engine/series/index.html?season=1808;view=season
36,1809,https://www.espncricinfo.com/ci/engine/series/index.html?season=1809;view=season
37,1810,https://www.espncricinfo.com/ci/engine/series/index.html?season=1810;view=season
38,1811,https://www.espncricinfo.com/ci/engine/series/index.html?season=1811;view=season
39,1812,https://www.espncricinfo.com/ci/engine/series/index.html?season=1812;view=season
40,1813,https://www.espncricinfo.com/ci/engine/series/index.html?season=1813;view=season
41,1814,https://www.espncricinfo.com/ci/engine/series/index.html?season=1814;view=season
42,1815,https://www.espncricinfo.com/ci/engine/series/index.html?season=1815;view=season
43,1816,https://www.espncricinfo.com/ci/engine/series/index.html?season=1816;view=season
44,1817,https://www.espncricinfo.com/ci/engine/series/index.html?season=1817;view=season
45,1818,https://www.espncricinfo.com/ci/engine/series/index.html?season=1818;view=season
46,1819,https://www.espncricinfo.com/ci/engine/series/index.html?season=1819;view=season
47,1820,https://www.espncricinfo.com/ci/engine/series/index.html?season=1820;view=season
48,1821,https://www.espncricinfo.com/ci/engine/series/index.html?season=1821;view=season
49,1822,https://www.espncricinfo.com/ci/engine/series/index.html?season=1822;view=season
50,1823,https://www.espncricinfo.com/ci/engine/series/index.html?season=1823;view=season
51,1824,https://www.espncricinfo.com/ci/engine/series/index.html?season=1824;view=season
52,1825,https://www.espncricinfo.com/ci/engine/series/index.html?season=1825;view=season
53,1826,https://www.espncricinfo.com/ci/engine/series/index.html?season=1826;view=season
54,1827,https://www.espncricinfo.com/ci/engine/series/index.html?season=1827;view=season
55,1828,https://www.espncricinfo.com/ci/engine/series/index.html?season=1828;view=season
56,1829,https://www.espncricinfo.com/ci/engine/series/index.html?season=1829;view=season
57,1830,https://www.espncricinfo.com/ci/engine/series/index.html?season=1830;view=season
58,1831,https://www.espncricinfo.com/ci/engine/series/index.html?season=1831;view=season
59,1832,https://www.espncricinfo.com/ci/engine/series/index.html?season=1832;view=season
60,1833,https://www.espncricinfo.com/ci/engine/series/index.html?season=1833;view=season
61,1834,https://www.espncricinfo.com/ci/engine/series/index.html?season=1834;view=season
62,1835,https://www.espncricinfo.com/ci/engine/series/index.html?season=1835;view=season
63,1836,https://www.espncricinfo.com/ci/engine/series/index.html?season=1836;view=season
64,1837,https://www.espncricinfo.com/ci/engine/series/index.html?season=1837;view=season
65,1838,https://www.espncricinfo.com/ci/engine/series/index.html?season=1838;view=season
66,1839,https://www.espncricinfo.com/ci/engine/series/index.html?season=1839;view=season
67,1840,https://www.espncricinfo.com/ci/engine/series/index.html?season=1840;view=season
68,1841,https://www.espncricinfo.com/ci/engine/series/index.html?season=1841;view=season
69,1842,https://www.espncricinfo.com/ci/engine/series/index.html?season=1842;view=season
70,1843,https://www.espncricinfo.com/ci/engine/series/index.html?season=1843;view=season
71,1844,https://www.espncricinfo.com/ci/engine/series/index.html?season=1844;view=season
72,1845,https://www.espncricinfo.com/ci/engine/series/index.html?season=1845;view=season
73,1846,https://www.espncricinfo.com/ci/engine/series/index.html?season=1846;view=season
74,1847,https://www.espncricinfo.com/ci/engine/series/index.html?season=1847;view=season
75,1848,https://www.espncricinfo.com/ci/engine/series/index.html?season=1848;view=season
76,1849,https://www.espncricinfo.com/ci/engine/series/index.html?season=1849;view=season
77,1850,https://www.espncricinfo.com/ci/engine/series/index.html?season=1850;view=season
78,1850/51,https://www.espncricinfo.com/ci/engine/series/index.html?season=1850%2F51;view=season
79,1851,https://www.espncricinfo.com/ci/engine/series/index.html?season=1851;view=season
80,1851/52,https://www.espncricinfo.com/ci/engine/series/index.html?season=1851%2F52;view=season
81,1852,https://www.espncricinfo.com/ci/engine/series/index.html?season=1852;view=season
82,1853,https://www.espncricinfo.com/ci/engine/series/index.html?season=1853;view=season
83,1853/54,https://www.espncricinfo.com/ci/engine/series/index.html?season=1853%2F54;view=season
84,1854,https://www.espncricinfo.com/ci/engine/series/index.html?season=1854;view=season
85,1855,https://www.espncricinfo.com/ci/engine/series/index.html?season=1855;view=season
86,1855/56,https://www.espncricinfo.com/ci/engine/series/index.html?season=1855%2F56;view=season
87,1856,https://www.espncricinfo.com/ci/engine/series/index.html?season=1856;view=season
88,1856/57,https://www.espncricinfo.com/ci/engine/series/index.html?season=1856%2F57;view=season
89,1857,https://www.espncricinfo.com/ci/engine/series/index.html?season=1857;view=season
90,1857/58,https://www.espncricinfo.com/ci/engine/series/index.html?season=1857%2F58;view=season
91,1859,https://www.espncricinfo.com/ci/engine/series/index.html?season=1859;view=season
92,1863/64,https://www.espncricinfo.com/ci/engine/series/index.html?season=1863%2F64;view=season
93,1864,https://www.espncricinfo.com/ci/engine/series/index.html?season=1864;view=season
94,1865/66,https://www.espncricinfo.com/ci/engine/series/index.html?season=1865%2F66;view=season
95,1867,https://www.espncricinfo.com/ci/engine/series/index.html?season=1867;view=season
96,1868/69,https://www.espncricinfo.com/ci/engine/series/index.html?season=1868%2F69;view=season
97,1870,https://www.espncricinfo.com/ci/engine/series/index.html?season=1870;view=season
98,1870/71,https://www.espncricinfo.com/ci/engine/series/index.html?season=1870%2F71;view=season
99,1872,https://www.espncricinfo.com/ci/engine/series/index.html?season=1872;view=season
100,1873,https://www.espncricinfo.com/ci/engine/series/index.html?season=1873;view=season
101,1876,https://www.espncricinfo.com/ci/engine/series/index.html?season=1876;view=season
102,1876/77,https://www.espncricinfo.com/ci/engine/series/index.html?season=1876%2F77;view=season
103,1877,https://www.espncricinfo.com/ci/engine/series/index.html?season=1877;view=season
104,1877/78,https://www.espncricinfo.com/ci/engine/series/index.html?season=1877%2F78;view=season
105,1878,https://www.espncricinfo.com/ci/engine/series/index.html?season=1878;view=season
106,1878/79,https://www.espncricinfo.com/ci/engine/series/index.html?season=1878%2F79;view=season
107,1879,https://www.espncricinfo.com/ci/engine/series/index.html?season=1879;view=season
108,1880,https://www.espncricinfo.com/ci/engine/series/index.html?season=1880;view=season
109,1881/82,https://www.espncricinfo.com/ci/engine/series/index.html?season=1881%2F82;view=season
110,1882,https://www.espncricinfo.com/ci/engine/series/index.html?season=1882;view=season
111,1882/83,https://www.espncricinfo.com/ci/engine/series/index.html?season=1882%2F83;view=season
112,1883/84,https://www.espncricinfo.com/ci/engine/series/index.html?season=1883%2F84;view=season
113,1884,https://www.espncricinfo.com/ci/engine/series/index.html?season=1884;view=season
114,1884/85,https://www.espncricinfo.com/ci/engine/series/index.html?season=1884%2F85;view=season
115,1885/86,https://www.espncricinfo.com/ci/engine/series/index.html?season=1885%2F86;view=season
116,1886,https://www.espncricinfo.com/ci/engine/series/index.html?season=1886;view=season
117,1886/87,https://www.espncricinfo.com/ci/engine/series/index.html?season=1886%2F87;view=season
118,1887/88,https://www.espncricinfo.com/ci/engine/series/index.html?season=1887%2F88;view=season
119,1888,https://www.espncricinfo.com/ci/engine/series/index.html?season=1888;view=season
120,1888/89,https://www.espncricinfo.com/ci/engine/series/index.html?season=1888%2F89;view=season
121,1889/90,https://www.espncricinfo.com/ci/engine/series/index.html?season=1889%2F90;view=season
122,1890,https://www.espncricinfo.com/ci/engine/series/index.html?season=1890;view=season
123,1891,https://www.espncricinfo.com/ci/engine/series/index.html?season=1891;view=season
124,1891/92,https://www.espncricinfo.com/ci/engine/series/index.html?season=1891%2F92;view=season
125,1892/93,https://www.espncricinfo.com/ci/engine/series/index.html?season=1892%2F93;view=season
126,1893,https://www.espncricinfo.com/ci/engine/series/index.html?season=1893;view=season
127,1893/94,https://www.espncricinfo.com/ci/engine/series/index.html?season=1893%2F94;view=season
128,1894/95,https://www.espncricinfo.com/ci/engine/series/index.html?season=1894%2F95;view=season
129,1895,https://www.espncricinfo.com/ci/engine/series/index.html?season=1895;view=season
130,1895/96,https://www.espncricinfo.com/ci/engine/series/index.html?season=1895%2F96;view=season
131,1896,https://www.espncricinfo.com/ci/engine/series/index.html?season=1896;view=season
132,1896/97,https://www.espncricinfo.com/ci/engine/series/index.html?season=1896%2F97;view=season
133,1897,https://www.espncricinfo.com/ci/engine/series/index.html?season=1897;view=season
134,1897/98,https://www.espncricinfo.com/ci/engine/series/index.html?season=1897%2F98;view=season
135,1898/99,https://www.espncricinfo.com/ci/engine/series/index.html?season=1898%2F99;view=season
136,1899,https://www.espncricinfo.com/ci/engine/series/index.html?season=1899;view=season
137,1899/00,https://www.espncricinfo.com/ci/engine/series/index.html?season=1899%2F00;view=season
138,1900,https://www.espncricinfo.com/ci/engine/series/index.html?season=1900;view=season
139,1900/01,https://www.espncricinfo.com/ci/engine/series/index.html?season=1900%2F01;view=season
140,1901,https://www.espncricinfo.com/ci/engine/series/index.html?season=1901;view=season
141,1901/02,https://www.espncricinfo.com/ci/engine/series/index.html?season=1901%2F02;view=season
142,1902,https://www.espncricinfo.com/ci/engine/series/index.html?season=1902;view=season
143,1902/03,https://www.espncricinfo.com/ci/engine/series/index.html?season=1902%2F03;view=season
144,1903,https://www.espncricinfo.com/ci/engine/series/index.html?season=1903;view=season
145,1903/04,https://www.espncricinfo.com/ci/engine/series/index.html?season=1903%2F04;view=season
146,1904,https://www.espncricinfo.com/ci/engine/series/index.html?season=1904;view=season
147,1904/05,https://www.espncricinfo.com/ci/engine/series/index.html?season=1904%2F05;view=season
148,1905,https://www.espncricinfo.com/ci/engine/series/index.html?season=1905;view=season
149,1905/06,https://www.espncricinfo.com/ci/engine/series/index.html?season=1905%2F06;view=season
150,1906,https://www.espncricinfo.com/ci/engine/series/index.html?season=1906;view=season
151,1906/07,https://www.espncricinfo.com/ci/engine/series/index.html?season=1906%2F07;view=season
152,1907,https://www.espncricinfo.com/ci/engine/series/index.html?season=1907;view=season
153,1907/08,https://www.espncricinfo.com/ci/engine/series/index.html?season=1907%2F08;view=season
154,1908,https://www.espncricinfo.com/ci/engine/series/index.html?season=1908;view=season
155,1908/09,https://www.espncricinfo.com/ci/engine/series/index.html?season=1908%2F09;view=season
156,1909,https://www.espncricinfo.com/ci/engine/series/index.html?season=1909;view=season
157,1909/10,https://www.espncricinfo.com/ci/engine/series/index.html?season=1909%2F10;view=season
158,1910,https://www.espncricinfo.com/ci/engine/series/index.html?season=1910;view=season
159,1910/11,https://www.espncricinfo.com/ci/engine/series/index.html?season=1910%2F11;view=season
160,1911,https://www.espncricinfo.com/ci/engine/series/index.html?season=1911;view=season
161,1911/12,https://www.espncricinfo.com/ci/engine/series/index.html?season=1911%2F12;view=season
162,1912,https://www.espncricinfo.com/ci/engine/series/index.html?season=1912;view=season
163,1912/13,https://www.espncricinfo.com/ci/engine/series/index.html?season=1912%2F13;view=season
164,1913,https://www.espncricinfo.com/ci/engine/series/index.html?season=1913;view=season
165,1913/14,https://www.espncricinfo.com/ci/engine/series/index.html?season=1913%2F14;view=season
166,1914,https://www.espncricinfo.com/ci/engine/series/index.html?season=1914;view=season
167,1914/15,https://www.espncricinfo.com/ci/engine/series/index.html?season=1914%2F15;view=season
168,1915/16,https://www.espncricinfo.com/ci/engine/series/index.html?season=1915%2F16;view=season
169,1919,https://www.espncricinfo.com/ci/engine/series/index.html?season=1919;view=season
170,1919/20,https://www.espncricinfo.com/ci/engine/series/index.html?season=1919%2F20;view=season
171,1920,https://www.espncricinfo.com/ci/engine/series/index.html?season=1920;view=season
172,1920/21,https://www.espncricinfo.com/ci/engine/series/index.html?season=1920%2F21;view=season
173,1921,https://www.espncricinfo.com/ci/engine/series/index.html?season=1921;view=season
174,1921/22,https://www.espncricinfo.com/ci/engine/series/index.html?season=1921%2F22;view=season
175,1922,https://www.espncricinfo.com/ci/engine/series/index.html?season=1922;view=season
176,1922/23,https://www.espncricinfo.com/ci/engine/series/index.html?season=1922%2F23;view=season
177,1923,https://www.espncricinfo.com/ci/engine/series/index.html?season=1923;view=season
178,1923/24,https://www.espncricinfo.com/ci/engine/series/index.html?season=1923%2F24;view=season
179,1924,https://www.espncricinfo.com/ci/engine/series/index.html?season=1924;view=season
180,1924/25,https://www.espncricinfo.com/ci/engine/series/index.html?season=1924%2F25;view=season
181,1925,https://www.espncricinfo.com/ci/engine/series/index.html?season=1925;view=season
182,1925/26,https://www.espncricinfo.com/ci/engine/series/index.html?season=1925%2F26;view=season
183,1926,https://www.espncricinfo.com/ci/engine/series/index.html?season=1926;view=season
184,1926/27,https://www.espncricinfo.com/ci/engine/series/index.html?season=1926%2F27;view=season
185,1927,https://www.espncricinfo.com/ci/engine/series/index.html?season=1927;view=season
186,1927/28,https://www.espncricinfo.com/ci/engine/series/index.html?season=1927%2F28;view=season
187,1928,https://www.espncricinfo.com/ci/engine/series/index.html?season=1928;view=season
188,1928/29,https://www.espncricinfo.com/ci/engine/series/index.html?season=1928%2F29;view=season
189,1929,https://www.espncricinfo.com/ci/engine/series/index.html?season=1929;view=season
190,1929/30,https://www.espncricinfo.com/ci/engine/series/index.html?season=1929%2F30;view=season
191,1930,https://www.espncricinfo.com/ci/engine/series/index.html?season=1930;view=season
192,1930/31,https://www.espncricinfo.com/ci/engine/series/index.html?season=1930%2F31;view=season
193,1931,https://www.espncricinfo.com/ci/engine/series/index.html?season=1931;view=season
194,1931/32,https://www.espncricinfo.com/ci/engine/series/index.html?season=1931%2F32;view=season
195,1932,https://www.espncricinfo.com/ci/engine/series/index.html?season=1932;view=season
196,1932/33,https://www.espncricinfo.com/ci/engine/series/index.html?season=1932%2F33;view=season
197,1933,https://www.espncricinfo.com/ci/engine/series/index.html?season=1933;view=season
198,1933/34,https://www.espncricinfo.com/ci/engine/series/index.html?season=1933%2F34;view=season
199,1934,https://www.espncricinfo.com/ci/engine/series/index.html?season=1934;view=season
200,1934/35,https://www.espncricinfo.com/ci/engine/series/index.html?season=1934%2F35;view=season
201,1935,https://www.espncricinfo.com/ci/engine/series/index.html?season=1935;view=season
202,1935/36,https://www.espncricinfo.com/ci/engine/series/index.html?season=1935%2F36;view=season
203,1936,https://www.espncricinfo.com/ci/engine/series/index.html?season=1936;view=season
204,1936/37,https://www.espncricinfo.com/ci/engine/series/index.html?season=1936%2F37;view=season
