,Bowling,O,M,R,W,ECON,0s,4s,6s,WD,NB,innings_number,match_id
0,Avinash Pai,4,0,12,1,3.00,17,1,0,0,0,1,1400053
2,Louis Bruce,4,0,26,1,6.50,8,2,0,2,0,1,1400053
4,Samarth Bodha,4,0,23,2,5.75,11,1,1,0,0,1,1400053
6,Kabir Mirpuri,4,0,13,0,3.25,14,0,0,0,1,1,1400053
7,Jack Horrocks,3,0,14,0,4.66,10,0,1,1,0,1,1400053
8,Andrew Reyes,1,0,13,0,13.00,2,1,1,1,0,1,1400053
9,Peter Nedeljkovic,4,0,21,0,5.25,14,3,0,1,0,2,1400053
10,Matija Sarenac,2,0,17,0,8.50,8,3,0,1,0,2,1400053
11,Alister Gajic,3,0,25,1,8.33,5,1,1,1,0,2,1400053
13,Alexander Dizija,3.1,0,32,1,10.10,7,3,1,2,0,2,1400053
15,Wintley Burton,1,0,6,0,6.00,0,0,0,0,0,2,1400053
16,Simo Ivetic,1,0,4,0,4.00,4,0,0,1,0,2,1400053
